"","business_id","word_count","stars","sentiment"
"1","lpel3pRFAzlow7u2TJMz4Q",23,5,-0.0834057656228299
"2","lpel3pRFAzlow7u2TJMz4Q",11,4,-0.226133508433323
"3","lpel3pRFAzlow7u2TJMz4Q",18,5,0
"4","lpel3pRFAzlow7u2TJMz4Q",12,5,0
"5","lpel3pRFAzlow7u2TJMz4Q",13,4,0.0832050294337844
"6","lpel3pRFAzlow7u2TJMz4Q",27,4,0.173205080756888
"7","lpel3pRFAzlow7u2TJMz4Q",4,4,0
"8","lpel3pRFAzlow7u2TJMz4Q",9,5,0
"9","lpel3pRFAzlow7u2TJMz4Q",12,5,0
"10","lpel3pRFAzlow7u2TJMz4Q",31,5,0.233486892634807
"11","lpel3pRFAzlow7u2TJMz4Q",10,3,-0.316227766016838
"12","cTPdZ9Va0HCLESf5gNnXwA",25,4,-0.04
"13","cTPdZ9Va0HCLESf5gNnXwA",14,5,-0.160356745147455
"14","cTPdZ9Va0HCLESf5gNnXwA",13,3,0.0520031433961152
"15","NN6HpdvQlGZUVjBwzhgUWQ",12,5,0.649519052838329
"16","wuyJfCF5gWyz9yrFMaGczQ",5,4,0
"17","wuyJfCF5gWyz9yrFMaGczQ",9,5,0
"18","wuyJfCF5gWyz9yrFMaGczQ",14,5,0.0668153104781061
"19","wuyJfCF5gWyz9yrFMaGczQ",12,5,0
"20","wuyJfCF5gWyz9yrFMaGczQ",15,5,0.129099444873581
"21","wuyJfCF5gWyz9yrFMaGczQ",5,4,0.223606797749979
"22","wuyJfCF5gWyz9yrFMaGczQ",17,5,0.363803437554499
"23","wuyJfCF5gWyz9yrFMaGczQ",18,3,0.235702260395516
"24","wuyJfCF5gWyz9yrFMaGczQ",12,4,0.0721687836487032
"25","r2BP0Irh63hqYUDSZd0ijQ",16,5,0
"26","nsw3tlB-hwz4KbPYcuaSww",14,4,0.427617987059879
"27","1YC7AbQMlNb5mLUlwwaa3w",10,3,0
"28","TQqhfjlPVEz41K_wAogQSQ",21,4,0
"29","TQqhfjlPVEz41K_wAogQSQ",25,4,0
"30","oPvYovnl06fy5W0e51zjMQ",16,5,0.1875
"31","LpKloJ5DFU1rjEENALnGZg",17,5,0.303169531295416
"32","LpKloJ5DFU1rjEENALnGZg",9,5,0
"33","LpKloJ5DFU1rjEENALnGZg",12,3,-0.0721687836487032
"34","BMR_AsSBzTQHqW-SQabI4w",11,4,0
"35","_qoXWEB5qb0Me1CCMLWlmg",16,4,0.45
"36","Eg_M8eeu9SDEdbP7iUmVbQ",16,5,0.1001875
"37","Eg_M8eeu9SDEdbP7iUmVbQ",47,4,0.297272852672709
"38","Eg_M8eeu9SDEdbP7iUmVbQ",15,5,0.46475800154489
"39","Eg_M8eeu9SDEdbP7iUmVbQ",19,5,0.367065174192899
"40","Eg_M8eeu9SDEdbP7iUmVbQ",39,4,0.18414737687585
"41","Eg_M8eeu9SDEdbP7iUmVbQ",20,4,0.290688837074973
"42","Eg_M8eeu9SDEdbP7iUmVbQ",10,4,0
"43","Eg_M8eeu9SDEdbP7iUmVbQ",7,5,0.188982236504614
"44","Eg_M8eeu9SDEdbP7iUmVbQ",20,4,0.290688837074973
"45","Eg_M8eeu9SDEdbP7iUmVbQ",13,4,0.208012573584461
"46","Eg_M8eeu9SDEdbP7iUmVbQ",7,5,0
"47","Eg_M8eeu9SDEdbP7iUmVbQ",9,4,0.25
"48","w4a6TuFWArSc29dB51rPNA",33,3,0.0087038827977849
"49","w4a6TuFWArSc29dB51rPNA",18,3,-0.117851130197758
"50","w4a6TuFWArSc29dB51rPNA",11,3,0
"51","w4a6TuFWArSc29dB51rPNA",21,4,0.130930734141595
"52","w4a6TuFWArSc29dB51rPNA",8,1,0
"53","w4a6TuFWArSc29dB51rPNA",5,1,0
"54","w4a6TuFWArSc29dB51rPNA",11,2,0.120604537831105
"55","w4a6TuFWArSc29dB51rPNA",10,5,0.237170824512628
"56","w4a6TuFWArSc29dB51rPNA",12,4,0
"57","w4a6TuFWArSc29dB51rPNA",11,4,0
"58","j3IEZP4nQAt7fkxmerLMbA",11,4,0.241209075662211
"59","F56TiSa71Tk4PIQ0HN8oag",27,5,0
"60","cdLjMoQPRtdWN4g6LW650w",10,4,0
"61","cdLjMoQPRtdWN4g6LW650w",11,4,0.271360210119987
"62","cdLjMoQPRtdWN4g6LW650w",20,5,0.111803398874989
"63","9x1bWbbSgFCMLJlJR8mezQ",41,5,0.101512945227594
"64","dKncjeWnvdqYiNC8l26fog",12,3,0.00866025403784439
"65","mq8jXL_UlyndiZtqN_H1rA",5,4,0
"66","pSAoDrxX7Q5VRe-7gpDpOw",27,4,-0.384900179459751
"67","NoF90rswXBHESSyDaWeKKA",27,4,0
"68","NoF90rswXBHESSyDaWeKKA",19,5,0
"69","pqsNkM5pgbio1x-2HQoefw",17,4,0.569958718835383
"70","pqsNkM5pgbio1x-2HQoefw",18,5,0.247487373415292
"71","pqsNkM5pgbio1x-2HQoefw",7,3,0
"72","pqsNkM5pgbio1x-2HQoefw",10,3,0
"73","pqsNkM5pgbio1x-2HQoefw",8,3,0.282842712474619
"74","pqsNkM5pgbio1x-2HQoefw",10,3,0
"75","pqsNkM5pgbio1x-2HQoefw",5,3,0
"76","pqsNkM5pgbio1x-2HQoefw",103,4,0.559667029997319
"77","pqsNkM5pgbio1x-2HQoefw",6,1,0
"78","pqsNkM5pgbio1x-2HQoefw",11,1,0
"79","pqsNkM5pgbio1x-2HQoefw",18,1,0
"80","pqsNkM5pgbio1x-2HQoefw",21,2,-0.163663417676994
"81","pqsNkM5pgbio1x-2HQoefw",11,2,0.150755672288882
"82","pqsNkM5pgbio1x-2HQoefw",23,4,0.0834057656228299
"83","pqsNkM5pgbio1x-2HQoefw",14,3,0
"84","pqsNkM5pgbio1x-2HQoefw",16,3,-0.125
"85","pqsNkM5pgbio1x-2HQoefw",11,5,-0.0753778361444409
"86","pqsNkM5pgbio1x-2HQoefw",13,4,-0.208012573584461
"87","pqsNkM5pgbio1x-2HQoefw",10,5,0
"88","pqsNkM5pgbio1x-2HQoefw",28,4,0.113389341902768
"89","pqsNkM5pgbio1x-2HQoefw",9,4,0.25
"90","pqsNkM5pgbio1x-2HQoefw",12,5,0.433012701892219
"91","pqsNkM5pgbio1x-2HQoefw",7,1,0
"92","pqsNkM5pgbio1x-2HQoefw",15,3,0
"93","sMzNLdhJZGzYirIWt-fMAg",15,4,-0.129099444873581
"94","sMzNLdhJZGzYirIWt-fMAg",24,5,0.67377297858156
"95","sMzNLdhJZGzYirIWt-fMAg",30,5,0.0730296743340221
"96","sMzNLdhJZGzYirIWt-fMAg",3,5,0
"97","sMzNLdhJZGzYirIWt-fMAg",43,5,0.182998284399126
"98","sMzNLdhJZGzYirIWt-fMAg",43,5,-0.205873069949016
"99","sMzNLdhJZGzYirIWt-fMAg",27,4,0.0530777347474996
"100","sMzNLdhJZGzYirIWt-fMAg",14,5,0
"101","sMzNLdhJZGzYirIWt-fMAg",14,3,0.21380899352994
"102","sMzNLdhJZGzYirIWt-fMAg",28,3,0.0661437827766148
"103","sMzNLdhJZGzYirIWt-fMAg",20,3,-0.167705098312484
"104","sMzNLdhJZGzYirIWt-fMAg",18,5,0.058925565098879
"105","sMzNLdhJZGzYirIWt-fMAg",27,5,0.324807638941597
"106","sMzNLdhJZGzYirIWt-fMAg",18,5,-0.0282842712474619
"107","sMzNLdhJZGzYirIWt-fMAg",16,5,-0.075
"108","sMzNLdhJZGzYirIWt-fMAg",12,4,0.23094010767585
"109","sMzNLdhJZGzYirIWt-fMAg",23,4,0.0521286035142687
"110","sMzNLdhJZGzYirIWt-fMAg",17,5,0
"111","sMzNLdhJZGzYirIWt-fMAg",12,4,0.23094010767585
"112","sMzNLdhJZGzYirIWt-fMAg",12,4,0.476313972081441
"113","BcLFIr4wtd3GQ3fnz15yDQ",11,5,0
"114","BcLFIr4wtd3GQ3fnz15yDQ",12,1,0.0433012701892219
"115","BcLFIr4wtd3GQ3fnz15yDQ",11,5,0.949760735419956
"116","BcLFIr4wtd3GQ3fnz15yDQ",17,5,0.0606339062590832
"117","BcLFIr4wtd3GQ3fnz15yDQ",11,5,0.508800393974976
"118","BcLFIr4wtd3GQ3fnz15yDQ",13,5,0
"119","BcLFIr4wtd3GQ3fnz15yDQ",23,3,-0.135534369137099
"120","BcLFIr4wtd3GQ3fnz15yDQ",10,4,0
"121","BcLFIr4wtd3GQ3fnz15yDQ",11,3,0.120604537831105
"122","BcLFIr4wtd3GQ3fnz15yDQ",14,5,0.133630620956212
"123","BcLFIr4wtd3GQ3fnz15yDQ",24,4,0.347011046894284
"124","BcLFIr4wtd3GQ3fnz15yDQ",15,5,0.0774596669241484
"125","BcLFIr4wtd3GQ3fnz15yDQ",7,5,0
"126","BcLFIr4wtd3GQ3fnz15yDQ",11,4,0
"127","BcLFIr4wtd3GQ3fnz15yDQ",9,5,0
"128","BcLFIr4wtd3GQ3fnz15yDQ",10,4,0.237170824512628
"129","BcLFIr4wtd3GQ3fnz15yDQ",14,5,0
"130","BcLFIr4wtd3GQ3fnz15yDQ",11,5,0
"131","BcLFIr4wtd3GQ3fnz15yDQ",16,5,0
"132","BcLFIr4wtd3GQ3fnz15yDQ",10,5,0.126491106406735
"133","BcLFIr4wtd3GQ3fnz15yDQ",14,3,0.10690449676497
"134","BcLFIr4wtd3GQ3fnz15yDQ",15,5,0.129099444873581
"135","BcLFIr4wtd3GQ3fnz15yDQ",10,5,0
"136","BcLFIr4wtd3GQ3fnz15yDQ",18,4,0.212132034355964
"137","BcLFIr4wtd3GQ3fnz15yDQ",8,3,0
"138","BcLFIr4wtd3GQ3fnz15yDQ",5,3,0.335410196624968
"139","BcLFIr4wtd3GQ3fnz15yDQ",5,3,0
"140","BcLFIr4wtd3GQ3fnz15yDQ",15,4,0.129099444873581
"141","BcLFIr4wtd3GQ3fnz15yDQ",16,4,0
"142","BcLFIr4wtd3GQ3fnz15yDQ",12,5,0.288675134594813
"143","XjAb0mxgCtq96pWWJjUBAg",7,3,0
"144","XjAb0mxgCtq96pWWJjUBAg",8,3,0.265165042944955
"145","ZliwQrjUnAosBLM8W_bsGQ",28,3,0.0566946709513841
"146","ZliwQrjUnAosBLM8W_bsGQ",13,5,0
"147","ZliwQrjUnAosBLM8W_bsGQ",16,5,-0.2625
"148","ZliwQrjUnAosBLM8W_bsGQ",11,5,0
"149","ZliwQrjUnAosBLM8W_bsGQ",19,5,0
"150","ZliwQrjUnAosBLM8W_bsGQ",19,5,0.195003373789977
"151","ZliwQrjUnAosBLM8W_bsGQ",5,4,0
"152","ZliwQrjUnAosBLM8W_bsGQ",16,5,0.125
"153","ZliwQrjUnAosBLM8W_bsGQ",14,5,0.21380899352994
"154","ZliwQrjUnAosBLM8W_bsGQ",17,4,0
"155","ZliwQrjUnAosBLM8W_bsGQ",18,5,0.353553390593274
"156","ZliwQrjUnAosBLM8W_bsGQ",11,5,0
